Order_ID,Product_Category,Shipping_Mode,Order_Value,Package_Weight_Kg,Warehouse_Distance_Km,Items_in_Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic_Index,Delivery_Time_Hours
ORD-100739,Apparel,Standard,1631.87,0.809,14.0,4,1.58,4.74,7.03,16.11
ORD-100788,Books,Same_Day,464.06,1.139,5.7,2,4.92,5.03,2.22,7.17
ORD-100043,Apparel,Standard,1364.09,,436.9,3,2.0,6.61,4.32,23.63
ORD-100155,Groceries,EXPRESS,737.82,9.588,317.5,8,,4.2,3.39,13.67
ORD-100494,Books,Standard,464.82,0.689,222.6,2,7.13,5.86,4.4,22.13
ORD-100970,Apparel,Standard,,1.347,366.9,2,2.55,7.02,5.31,19.11
ORD-100270,Electronics,standard,7648.17,2.604,532.5,4,6.27,5.89,6.86,29.86
ORD-100590,Beauty,Express,1555.26,0.6,47.9,3,2.36,5.18,4.43,9.42
ORD-100123,Apparel,Standard,2033.16,0.809,495.2,11,6.28,7.12,5.0,30.85
ORD-100113,Home_Kitchen,Same_Day,4631.25,13.294,15.1,7,2.09,4.32,3.04,8.64
ORD-100930,APPAREL ,Standard,2400.19,2.52,35.7,0,6.11,5.05,3.25,16.61
ORD-100128,Electronics,Express,19954.23,4.391,8.0,3,3.74,3.91,2.0,12.52
ORD-100732,Electronics,Standard,1530.89,0.703,298.5,2,4.99,8.55,3.91,23.86
ORD-100478,Groceries,Standard,1367.45,9.62,422.6,4,2.62,5.66,4.8,19.73
ORD-100147,Home_Kitchen,Same_Day,5455.04,2.632,30.2,1,3.11,6.16,5.01,9.12
ORD-101005,Apparel,Standard,3196.5,0.879,404.8,7,1.98,6.22,4.35,21.17
ORD-101100,Electronics,Standard,3824.84,3.011,615.6,1,0.48,5.09,4.48,19.3
ORD-100174,Electronics,Standard,2856.38,2.188,23.3,7,4.85,6.03,5.29,21.13
ORD-100358,Home_Kitchen,Standard,1682.79,3.433,20.6,3,5.11,7.17,7.2,18.26
ORD-100220,Apparel,Standard,2255.92,1.91,573.2,4,3.27,8.57,9.35,26.49
ORD-101103,Books,Same_Day,245.02,1.179,23.3,2,1.55,7.57,5.68,7.19
ORD-100589,electronics,Same_Day,6282.23,0.822,19.2,1,1.19,6.53,7.0,7.87
ORD-100294,Books,Standard,292.32,0.698,420.1,2,0.34,4.39,4.86,18.45
ORD-100809,Beauty,Express,637.85,0.363,26.6,1,0.88,3.14,1.82,7.15
ORD-100297,Books,Standard,557.18,1.702,142.2,4,1.8,4.98,5.97,12.55
ORD-101019,Home_Kitchen,Standard,1275.74,3.094,425.4,1,2.67,4.76,4.05,21.59
ORD-100593,Home_Kitchen,Same_Day,7717.16,1.977,28.0,5,1.3,3.44,6.88,8.07
ORD-100787,Apparel,Same_Day,6106.36,1.573,34.1,7,3.2,8.76,7.35,9.58
ORD-100081,Apparel,Standard,2459.47,0.584,53.9,5,2.91,7.67,5.84,16.95
ORD-100233,Home_Kitchen,Standard,4183.85,4.886,574.2,5,2.59,6.44,6.17,26.25
ORD-100985,Beauty,Express,4806.14,1.179,386.7,4,2.75,3.43,3.22,16.3
ORD-100266,Apparel,Standard,2085.49,1.637,1245.0,9,3.15,5.01,7.82,38.02
ORD-100210,Groceries,Express,1096.12,6.848,468.5,4,2.94,4.35,3.93,17.8
ORD-100614,Apparel,Same_Day,2264.66,0.998,54.2,5,1.18,4.52,6.5,6.32
ORD-101122,Books,Standard,568.29,1.385,861.7,3,0.74,4.16,5.97,26.72
ORD-100962,Electronics,Standard,15864.5,4.941,443.9,6,3.3,5.61,7.37,27.73
ORD-101192,Books,Same_Day,813.6,1.533,17.5,3,3.6,6.74,4.89,8.72
ORD-100438,Groceries,Standard,857.79,1.554,3.7,2,6.03,9.99,9.06,22.23
ORD-100240,Books,Standard,1164.39,0.917,256.1,2,0.98,4.08,5.6,15.66
ORD-100350,Home_Kitchen,Standard,3904.01,20.877,801.6,9,3.7,7.14,6.42,34.99
